age_group,socioeconomic_group,experience_years,test_score,college_graduation_year_gap,employment_gap,neighborhood_quality,hired
Senior,High,6,69.8801,0,0,1,1
Senior,High,3,65.9578,1,0,1,1
Young,High,5,47.9243,0,0,1,1
Young,High,5,83.1492,0,0,1,1
Young,High,5,81.5343,1,1,1,1
Senior,High,8,47.8378,1,0,1,1
Young,High,9,55.4331,1,0,0,1
Young,Low,9,56.7507,0,0,1,1
Senior,High,6,74.1478,1,0,1,1
Young,High,6,72.4209,0,0,0,1
Senior,High,9,65.6661,0,1,0,1
Young,Low,4,69.1079,1,0,1,1
Young,High,6,45.6855,1,0,0,1
Senior,High,4,70.7204,1,0,1,1
Young,Low,1,63.4867,0,0,0,0
Young,High,7,54.8144,1,0,0,1
Senior,High,10,42.0124,1,1,1,1
Senior,High,6,65.4044,1,0,1,1
Young,High,9,70.3544,1,1,1,1
Senior,High,7,39.4628,0,1,1,1
Young,High,7,65.2773,1,0,1,1
Young,Low,2,66.8336,1,0,1,1
Senior,Low,9,56.6866,0,1,1,1
Senior,Low,10,70.6976,0,1,1,1
Senior,High,9,63.0101,1,1,1,1
Senior,Low,6,69.2476,0,0,0,1
Senior,High,3,73.0137,0,1,1,1
Senior,High,1,73.0221,0,1,1,1
Young,Low,4,80.2523,0,0,0,1
Senior,High,3,70.0749,1,0,1,1
Young,High,1,57.8444,0,0,1,1
Young,Low,3,55.2831,0,0,1,1
Young,Low,4,49.0504,0,0,0,0
Young,High,8,67.2677,1,0,0,1
Senior,Low,9,84.8197,1,1,0,1
Senior,Low,3,59.6232,0,1,1,1
Senior,High,6,71.7441,1,0,1,1
Young,High,10,53.7158,1,1,1,1
Young,High,5,67.9221,0,0,0,1
Young,High,6,83.8902,0,0,1,1
Young,High,4,75.2937,0,1,1,1
Senior,Low,10,41.4378,1,0,0,1
Senior,Low,6,73.5604,0,1,1,1
Senior,Low,7,74.2434,0,1,1,1
Young,High,9,67.6023,0,0,0,1
Senior,Low,10,75.0128,0,0,0,1
Senior,Low,7,52.4975,0,0,1,1
Senior,Low,6,65.9489,1,0,1,1
Senior,High,1,81.6526,1,1,0,0
Young,Low,2,80.2992,0,0,0,1
Young,High,1,73.2207,0,1,1,1
Young,High,9,51.7551,0,0,1,1
Senior,High,10,49.393,1,1,0,1
Young,Low,10,66.7182,0,0,0,1
Young,Low,9,67.7116,0,0,1,1
Young,High,7,63.4944,1,0,1,1
Young,High,2,52.9282,0,0,1,0
Senior,High,6,71.5544,1,0,1,1
Senior,High,4,66.6525,1,0,1,1
Young,High,1,69.3474,0,0,1,1
Young,High,1,73.9015,0,0,0,1
Young,Low,5,60.8953,0,0,0,1
Young,High,2,57.6686,1,0,1,1
Young,High,4,81.6135,0,1,1,1
Young,High,1,53.6396,1,1,1,0
Young,Low,4,57.9624,0,0,0,1
Senior,Low,6,83.5137,1,0,0,1
Senior,Low,10,56.7946,0,1,0,1
Young,High,4,63.5207,0,1,1,1
Young,Low,1,58.8205,0,0,0,1
Senior,High,7,38.2517,0,0,1,1
Senior,Low,2,63.1504,0,0,1,1
Senior,Low,9,49.8407,0,0,1,1
Senior,Low,3,68.8187,0,0,0,1
Young,Low,8,81.5846,0,0,0,1
Young,Low,8,31.7874,0,0,1,1
Senior,High,3,58.8962,0,0,0,1
Young,Low,4,71.7848,1,0,0,1
Senior,High,2,32.2498,0,0,0,0
Senior,Low,4,85.044,0,1,1,1
Senior,High,9,70.6984,0,0,1,1
Young,High,2,81.2482,0,1,1,1
Senior,High,3,56.5408,0,0,1,1
Young,High,4,58.3502,0,0,0,1
Senior,High,5,62.586,0,1,1,1
Senior,Low,1,97.0731,1,0,1,1
Young,High,7,84.7716,1,0,0,1
Senior,High,10,66.9852,1,0,1,1
Senior,Low,7,68.816,1,0,1,1
Young,High,9,74.5236,1,0,1,1
Young,Low,4,100.0,0,0,0,1
Young,Low,6,70.7408,0,0,0,1
Young,Low,2,65.6894,0,1,0,0
Young,Low,4,59.921,0,0,0,1
Senior,High,2,68.5237,1,1,1,0
Young,Low,10,56.1947,1,0,0,1
Young,High,5,72.4414,0,0,1,1
Senior,High,7,43.5111,1,0,0,0
Young,Low,1,61.0925,0,0,1,1
Senior,High,10,76.0195,1,1,1,1
Young,Low,10,70.5369,1,0,1,1
Young,Low,7,58.0606,1,0,1,1
Senior,Low,10,61.5196,1,0,1,1
Senior,Low,6,80.53,1,0,0,1
Senior,High,6,46.844,0,1,1,1
Senior,High,8,46.9311,1,1,1,1
Senior,Low,8,51.0555,0,0,1,1
Young,High,6,64.8398,0,0,1,1
Young,Low,3,44.6489,1,0,0,0
Senior,Low,5,79.295,0,1,0,1
Senior,Low,2,51.1356,0,0,0,1
Senior,High,5,68.3653,0,0,1,1
Young,High,9,56.3139,0,1,1,1
Young,High,10,64.0175,0,0,1,1
Senior,High,1,40.9498,1,0,1,0
Young,Low,10,80.0197,1,0,1,1
Senior,High,5,50.5775,1,0,1,1
Senior,High,6,49.0067,1,0,1,1
Young,High,7,100.0,0,1,1,1
Senior,Low,9,73.3146,1,0,1,1
Senior,Low,6,79.4362,0,0,0,1
Young,High,5,71.8834,0,0,1,1
Senior,High,7,58.2128,1,0,1,1
Senior,High,1,45.3973,1,1,1,0
Senior,High,5,60.5177,1,1,1,1
Young,Low,2,50.3276,0,0,0,0
Senior,Low,4,51.2283,1,1,0,0
Young,High,7,41.2522,0,0,1,1
Young,High,5,66.7171,0,0,1,1
Senior,Low,6,88.6012,0,0,0,1
Young,High,2,73.3721,0,0,1,1
Young,Low,3,63.4131,0,0,0,1
Senior,High,7,64.3914,0,0,1,1
Senior,High,2,30.0,1,1,0,0
Senior,High,6,58.6425,1,1,1,1
Senior,Low,5,43.5999,1,0,1,1
Young,Low,10,67.0162,0,1,1,1
Young,High,1,61.1004,0,1,1,0
Young,High,10,51.9604,1,0,1,1
Senior,High,4,66.6785,1,1,1,0
Senior,High,2,66.5492,0,1,1,1
Senior,High,4,87.7794,1,1,0,0
Senior,High,1,75.2963,0,0,1,1
Young,Low,2,68.2546,0,0,0,1
Young,High,8,50.7873,0,1,1,1
Young,High,6,48.8984,0,0,1,1
Senior,Low,2,73.9827,0,0,1,1
Young,High,6,61.999,0,0,1,1
Senior,Low,10,68.7405,1,0,0,1
Young,High,9,79.67,1,0,1,1
Young,Low,7,42.3029,0,1,1,1
Young,Low,9,85.9555,0,0,0,1
Senior,Low,5,79.5407,1,0,1,1
Senior,Low,7,34.1834,0,0,1,1
Young,High,7,100.0,0,0,0,1
Young,Low,3,69.8206,0,0,1,1
Senior,High,7,57.8219,0,0,0,1
Young,High,1,72.7859,0,1,1,1
Senior,High,9,50.3379,1,1,0,1
Senior,Low,10,73.1919,0,0,0,1
Young,High,6,53.0976,1,0,1,1
Young,Low,5,95.3054,0,0,1,1
Senior,Low,7,65.9015,0,0,0,1
Young,Low,5,74.7473,0,0,0,1
Young,Low,10,53.209,0,0,0,1
Senior,High,5,77.2474,1,0,1,1
Senior,High,10,64.8113,0,1,1,1
Senior,High,7,43.8222,1,1,1,0
Senior,High,10,61.4186,1,0,0,1
Young,High,7,93.9667,0,0,0,1
Young,High,3,77.8847,0,1,0,0
Senior,High,3,59.3154,0,1,1,0
Senior,Low,10,36.9625,0,0,1,1
Young,Low,3,52.5126,0,0,1,1
Senior,High,6,43.9029,1,0,1,1
Young,Low,6,37.3249,0,0,0,0
Young,High,3,76.7839,0,0,1,1
Young,High,3,65.9358,0,0,1,1
Young,Low,8,91.9266,0,0,0,1
Young,High,8,50.0354,0,0,1,1
Young,High,7,64.9658,0,1,1,1
Young,Low,10,44.0874,1,0,1,1
Senior,Low,4,56.0769,1,1,0,0
Senior,Low,4,61.6684,0,0,0,1
Senior,Low,3,59.3802,0,0,0,1
Senior,Low,5,65.8031,0,0,1,1
Young,High,3,79.5741,1,0,0,1
Young,High,8,77.9963,0,0,0,1
Senior,High,7,53.46,0,0,1,1
Young,High,3,64.5447,0,0,1,1
Senior,Low,9,76.9114,0,0,0,1
Young,High,5,80.536,0,0,1,1
Senior,Low,9,55.0826,1,1,1,1
Young,Low,7,75.6225,0,0,0,1
Senior,Low,7,69.9672,1,0,0,1
Senior,Low,6,49.0102,1,1,0,0
Senior,Low,2,77.0024,0,0,0,1
Young,High,9,67.2731,1,0,1,1
Senior,Low,6,38.8791,0,0,0,1
Senior,High,8,60.5922,1,0,1,1
Senior,Low,1,65.5979,1,0,0,0
Senior,High,5,55.9126,1,0,1,1
Senior,Low,1,83.4234,1,0,1,1
Young,Low,10,83.967,0,0,0,1
Senior,High,8,59.2626,1,0,1,1
Senior,High,8,57.6166,1,1,1,1
Senior,Low,1,63.0315,1,0,1,1
Young,High,9,61.9988,1,0,1,1
Young,Low,2,56.1125,0,0,1,1
Senior,Low,9,30.0,1,1,1,0
Senior,High,1,91.3222,0,1,0,1
Young,High,10,65.0063,0,0,1,1
Senior,High,9,62.3253,1,0,0,1
Young,Low,4,69.8775,0,1,1,1
Young,High,9,63.7991,1,0,1,1
Young,Low,7,58.5453,0,1,0,1
Young,High,6,49.9153,0,0,1,1
Senior,Low,5,37.4208,0,0,0,1
Young,Low,9,44.6843,0,0,1,1
Senior,Low,2,48.2499,0,0,1,1
Senior,High,2,74.7638,0,1,1,1
Senior,Low,9,75.8693,0,0,1,1
Senior,Low,3,51.773,1,0,1,0
Young,Low,8,30.0,1,0,1,1
Senior,Low,9,65.1368,1,0,0,1
Senior,High,8,58.6769,0,0,1,1
Young,High,4,58.3061,0,0,1,1
Senior,Low,1,79.3391,0,0,1,1
Senior,High,4,67.0798,0,1,1,1
Senior,Low,9,50.3543,0,0,0,1
Senior,Low,2,46.9038,1,1,0,0
Senior,High,3,61.0608,1,1,1,0
Young,Low,10,51.4038,0,0,0,1
Senior,High,8,63.914,0,0,1,1
Senior,Low,6,80.3921,1,0,0,1
Young,Low,8,44.3033,0,0,0,1
Young,Low,7,66.3167,1,0,1,1
Young,High,5,78.7257,1,0,0,1
Senior,High,9,63.7072,1,0,1,1
Senior,Low,4,75.8237,0,0,1,1
Young,Low,6,60.6909,0,0,1,1
Senior,Low,2,67.5624,1,0,0,1
Young,High,2,71.6118,0,1,0,1
Senior,High,2,56.42,1,1,1,0
Senior,High,10,94.8601,0,0,0,1
Senior,Low,7,73.6637,0,0,1,1
Young,High,2,84.5448,0,0,0,1
Young,High,2,81.0654,0,0,1,1
Young,Low,9,69.9093,0,0,0,1
Young,High,7,85.7868,0,1,1,1
Senior,Low,3,67.8187,1,0,1,1
Senior,Low,3,54.0534,0,0,0,0
Senior,Low,7,65.2223,0,1,0,1
Senior,High,5,49.9075,1,0,1,1
Senior,High,10,33.4744,1,0,1,1
Senior,Low,6,52.2119,1,0,0,0
Senior,Low,8,66.0932,1,1,1,1
Senior,Low,9,80.9289,1,0,0,1
Young,High,1,52.1672,0,0,1,1
Young,Low,3,80.1524,0,0,0,1
Young,Low,7,46.8398,1,0,0,0
Senior,Low,6,51.2072,0,1,0,1
Senior,Low,7,86.7373,0,0,1,1
Young,Low,8,65.7143,0,0,0,1
Senior,Low,6,62.3957,0,0,0,1
Senior,High,3,68.5292,0,0,1,1
Young,High,2,46.904,0,0,0,1
Young,High,7,60.0373,0,0,0,1
Senior,High,1,65.0399,0,0,1,1
Senior,High,3,83.4707,1,0,1,1
Senior,High,4,39.9437,1,0,1,1
Senior,High,1,91.4449,0,0,1,1
Senior,High,5,63.1303,1,0,1,1
Senior,Low,10,48.3417,1,0,0,1
Senior,Low,3,45.6255,0,0,0,0
Senior,High,2,69.0972,0,1,1,1
Young,Low,3,44.7919,0,1,0,0
Young,Low,8,56.5981,0,1,1,1
Young,High,6,61.2515,1,0,0,1
Senior,High,7,82.1551,1,0,1,1
Senior,Low,6,80.2768,0,0,0,1
Senior,Low,6,55.3551,1,0,0,1
Young,Low,3,61.8098,0,1,0,0
Young,High,8,41.0692,0,0,1,1
Young,High,7,34.4136,0,1,1,1
Young,High,7,46.5642,0,0,1,1
Senior,High,6,81.8465,0,1,1,1
Young,High,5,76.7012,0,0,1,1
Young,High,10,70.7515,0,1,1,1
Senior,Low,8,43.1356,1,1,0,0
Young,Low,5,54.3251,0,1,0,1
Senior,High,9,52.1327,0,0,1,1
Senior,Low,9,62.51,1,0,0,1
Young,High,1,61.5642,0,0,1,1
Senior,High,6,49.9706,0,1,1,1
Senior,High,7,70.2383,1,1,1,1
Senior,Low,3,68.4342,1,1,0,0
Young,Low,7,54.0677,0,0,0,1
Senior,Low,7,69.5642,1,1,1,1
Young,High,2,81.8643,0,0,1,1
Young,Low,7,86.4209,0,1,1,1
Young,High,1,72.3599,0,0,1,1
Senior,Low,5,71.919,1,1,1,1
Young,Low,9,61.3979,1,0,0,1
Young,High,7,80.4457,0,0,0,1
Senior,Low,7,48.9447,1,1,1,1
Young,Low,2,78.7078,1,0,1,1
Young,High,8,60.6859,0,0,1,1
Young,Low,3,87.3641,1,0,1,1
Young,High,8,73.8231,0,0,0,1
Young,Low,3,63.982,0,0,0,1
Young,Low,10,61.4527,0,0,0,1
Senior,Low,7,72.8842,1,0,0,1
Young,Low,2,72.1569,0,0,0,1
Young,Low,4,59.0249,1,0,0,0
Senior,High,6,66.3775,0,0,1,1
Young,Low,9,78.4459,0,0,1,1
Senior,High,5,44.5497,0,0,1,1
Young,High,9,75.8882,1,0,1,1
Young,High,5,72.8182,0,0,1,1
Young,High,10,82.7997,0,0,1,1
Young,Low,8,54.2652,0,0,1,1
Young,High,1,65.0857,0,0,1,1
Young,Low,7,68.076,1,0,0,1
Young,High,4,76.0819,0,1,1,1
Young,High,5,71.4368,0,0,1,1
Young,Low,6,46.4067,1,1,0,0
Young,High,5,69.3657,0,0,1,1
Young,High,1,95.0634,0,1,1,1
Senior,Low,9,74.1764,1,1,0,1
Senior,High,2,89.5707,0,1,1,1
Young,Low,9,80.6459,0,0,0,1
Senior,High,10,85.436,1,0,1,1
Senior,High,2,69.6495,1,0,1,1
Young,Low,9,72.8277,0,0,0,1
Senior,High,6,68.8328,1,0,1,1
Senior,High,9,65.0651,0,0,1,1
Young,High,6,76.1329,0,1,1,1
Young,High,6,57.185,0,0,1,1
Senior,Low,2,93.2807,1,0,0,1
Senior,High,8,51.0798,0,0,1,1
Young,Low,3,77.1708,0,0,0,1
Young,Low,7,85.6801,0,0,1,1
Young,High,5,62.3507,0,1,1,1
Young,Low,3,48.3053,1,0,0,0
Senior,High,1,82.3329,1,1,1,0
Young,Low,8,68.0509,0,0,0,1
Young,High,3,77.1997,0,0,1,1
Senior,Low,2,63.3582,1,0,0,0
Young,High,1,90.9789,0,0,0,1
Young,High,4,33.2449,0,0,1,0
Senior,Low,8,70.6427,1,0,0,1
Senior,Low,3,85.1262,0,0,0,1
Senior,High,1,66.5801,0,0,1,1
Senior,High,4,69.5354,0,1,1,1
Young,Low,9,58.4898,0,0,1,1
Young,Low,1,65.3103,1,1,0,0
Senior,Low,2,39.9222,0,0,0,0
Young,Low,9,54.2235,1,0,1,1
Young,Low,2,53.1987,0,0,0,1
Young,Low,3,75.0369,0,0,0,1
Young,High,7,56.4295,0,0,1,1
Young,High,3,56.8629,0,0,1,1
Young,Low,9,59.3311,0,0,0,1
Young,Low,6,53.7703,1,0,1,1
Young,High,3,69.0353,0,0,1,1
Senior,High,9,70.6645,0,0,1,1
Senior,Low,1,77.3753,0,0,0,1
Senior,Low,10,74.7913,1,0,0,1
Senior,High,3,73.2914,0,0,1,1
Young,High,1,60.0655,1,0,1,1
Young,High,2,59.1034,0,0,1,1
Senior,High,8,51.9318,1,0,1,1
Senior,High,7,51.6613,0,0,1,1
Senior,High,2,67.9139,0,0,1,1
Young,Low,2,54.2088,0,0,1,1
Young,High,9,87.0249,0,0,1,1
Young,Low,6,64.4375,0,0,0,1
Young,Low,5,87.5209,0,0,0,1
Senior,High,10,73.5765,0,0,0,1
Senior,Low,6,53.3415,1,0,0,1
Young,High,9,64.0693,0,1,1,1
Senior,Low,7,39.8982,0,0,1,1
Senior,High,10,67.8564,0,1,1,1
Young,Low,10,54.7135,0,0,1,1
